alder,Forskolelarare,Lagmellanstdlr,Amneslarare,PrakEstLarare,Yrkeslarare,Humanist,Konstutb,Teolog,Biblinfo,Ekonom,Personalvetare,Jurist,Journalist,Psykolog,Samhbetvet,Biolog,Systvet,Fysiker,Geovet,Kemist,Matstat,Arkitekt,Civ_ing,Hgsk_ing,Agronom,Veterinar,Apotekare,Arbterap,Biomed_analyt,Lakare,Receptarie,Sjukgymn,Sjukskoterska,Soc_omsorg,Socionom,Tandhyg,Tandlakare,Akademiker_totalt,GymnTotal,GymnNatv,GymnSamhv
41,"4897382,107","5002978,682","5045287,095","5037986,348","5072646,653","4987928,246","4906633,634","5133654,852","4839611,616","6299852,257","5425952,662","6318589,334","5630590,28","5523019,666","5464150,346","5116037,296","5912963,619","5436897,364","5333420,128","5244784,202","5908111,103","5601595,943","6384658,442","6092078,663","5419139,918","5646109,398","5910417,208","4941439,594","5086003,918","6706828,973","5614231,183","5029799,462","5333437,05","4982016,126","5172092,999","4922713,157","5901025,767","5697460,348","5674849,697","5827306,004","5654521,384"
42,"5142480,428","5262086,94","5318807,226","5305289,15","5351000,255","5262619,836","5168098,043","5430988,011","5092688,16","6703678,42","5737984,269","6719390,766","5947002,328","5823752,328","5795611,508","5399225,823","6258951,307","5756435,278","5639715,159","5549558,439","6251906,958","5922376,749","6782374,805","6431362,417","5738884,738","5968920,889","6240518,036","5195138,938","5354076,91","7142813,33","5897897,208","5295286,531","5605478,445","5253604,858","5445200,994","5172560,541","6237197,005","6026346,603","5968987,524","6133138,042","5947337,58"
43,"5388730,466","5522916,103","5594299,054","5574201,367","5631737,987","5539615,248","5430768,545","5731293,585","5347111,948","7112816,301","6052218,796","7125085,948","6264916,971","6125784,216","6130805,745","5684851,077","6607748,839","6078551,633","5947978,907","5856741,175","6598369,146","6245711,458","7184465,66","6772200,632","6061741,434",6294528,"6573264,209","5450145,395","5623866,349","7585434,194","6182799,628","5562524,801","5878823,941","5527476,868","5720543,71","5423872,459","6576472,782","6357883,592","6264653,272","6440987,2","6241603,909"
44,"5636109,181","5785400,123","5871658,382","5844597,033","5914699,333","5818767,536","5694484,279","6033978,668","5602781,995","7526896,639","6368443,514","7535270,296","6584023,936","6429041,986","6469505,208","5972725,935","6959002,183","6402896,719","6257985,608","6166109,221","6947122,204","6571458,263","7590580,921","7114233,518","6387417,374","6622798,647","6908642,695","5706364,205","5895237,777","8034392,7","6468907,283","5831415,575","6153432,738","5803460,637","5998086,291","5676552,233","6918764,148","6691794,104","6561517,508","6750493,381","6536982,115"
45,"5884440,274","6048983,359","6149976,45","6116961,287","6200412,873","6098355,606","5951397,608","6341883,8","5860181,43","7944078,493","6687560,564","7948515,933","6902374,69","6733082,824","6810744,776","6260757,461","7309532,811","6729120,713","6567694,895","6477439,271","7300662,689","6893870,999","7995125,761","7453167,739","6715330,245","6953389,704","7249271,843","5963461,876","6168084,615","8488828,314","6758201,563","6101581,935","6429159,314","6081351,007","6277725,939","5931015,594","7264834,158","7026740,893","6863068,406","7065408,735","6836885,801"
46,"6133819,989","6314147,692","6429975,442","6390627,538","6488069,58","6379694,327","6208926,974","6651976,936","6118724,885","8365330,872","7008202,974","8365427,525","7221341,02","7038199,28","7154973,092","6550136,973","7661884,577","7056921,967","6878680,528","6790507,904","7655910,764","7218396,728","8402820,31","7792614,541","7045521,133","7286326,521","7592440,439","6221548,41","6442244,564","8948937,918","7048623,322","6373167,796","6706033,734","6361041,833","6559527,274","6186654,906","7613753,826","7363647,799","7165788,737","7382008,128","7137847,06"
47,"6384225,064","6580827,012","6711551,264","6665469,03","6777508,043","6662606,942","6466864,372","6964167,727","6378310,674","8790229,828","7330056,16","8785657,163","7540665,523","7344368,937","7501962,626","6840599,862","8015756,526","7385998,712","7190818,894","7105091,578","8012437,554","7544847,106","8813320,104","8132270,365","7377794,318","7621527,231","7938083,799","6480500,502","6717582,899","9414422,613","7340108,92","6646041,731","6984014,937","6642394,233","6843455,133","6443343,386","7965383,029","7702238,621","7469788,961","7700439,096","7439962,387"
48,"6646684,063","6848987,575","6994631,959","6941358,895","7068566,757","6946916,6","6725056,369","7278365,701","6638900,408","9218351,291","7652905,713","9208856,803","7859989,364","7651518,026","7851435,438","7132015,105","8370847,582","7716000,765","7503835,546","7420966,63","8369959,962","7873083,245","9226225,514","8471781,262","7711857,148","7958808,775","8286137,09","6740259,955","7005080,558","9884926,861","7632626,498","6920137,42","7263028,826","6925236,38","7129474,242","6710275,352","8319631,929","8042287,712","7774849,961","8020494,041","7743001,731"
49,"6910313,821","7131630,541","7279113,16","7233098,447","7374184,017","7245482,968","6983322,059","7594428,639","6900392,151","9649271,067","7991432,973","9634566,834","8192124,447","7959572,623","8203113,468","7424203,26","8726856,545","8046577,817","7817556,387","7737957,563","8728146,134","8203015,714","9641191,804","8824103,402","8047513,655","8298038,467","8636586,485","7013835,94","7293709,216","10360151,44","7939211,567","7208358,109","7556134,551","7222463,816","7432445,08","6978256,091","8676410,534","8383569,301","8080873,028","8342066,597","8046854,029"
50,"7175229,013","7415617,881","7583367,283","7526389,876","7681821,502","7544750,114","7253645,041","7928196,948","7180977,282","10097203,91","8331053,814","10080677,4","8525844,702","8269632,679","8573390,435","7733966,726","9098342,54","8394313,107","8145127,766","8072677,55","9102005,142","8533835,491","10072367,62","9173393,195","8405679,217","8641145,386","8989135,517","7288025,19","7583526,526","10840306,54","8246862,312","7497529,169","7850593,216","7521152,077","7737788,703","7249642,368","9040017,786","8742790,745","8384874,447","8661964,049","8348601,184"
51,"7441213,111","7701215,625","7889184,61","7820719,647","7990896,606","7845114,959","7524015,627","8263926,039","7462671,205","10547407,55","8671231,443","10528972,55","8859564,958","8601249,787","8945752,096","8044626,423","9470427,107","8742308,395","8473330,979","8408354,871","9476151,133","8886759,967","10505156,32","9522682,989","8765265,869","9006694,257","9364689,72","7563013,863","7874214,792","11347102,59","8555682,694","7787823,861","8146195,119","7821080,735","8045454,088","7521913,614","9426763,703","9103130,703","8689553,452","8982980,695","8651017,142"
52,"7708247,016","7988362,612","8196500,199","8115998,725","8301252,371","8146406,188","7794386,213","8601532,05","7745441,481","10999522,78","9011706,58","10979056,05","9193285,213","8934022,519","9319927,05","8356009,272","9842866,689","9090303,684","8801951,867","8744772,101","9850297,123","9241323,357","10939224,82","9871972,782","9126030,955","9374224,187","9742805,918","7838748,787","8165643,327","11858120,98","8865645,8","8079115,829","8442903,994","8122148,574","8355444,427","7795042,754","9816229,749","9464369,72","8995324,086","9305364,991","8954510,577"
53,"7976279,078","8277030,077","8505249,11","8412105,563","8612764,345","8448452,486","8064756,798","8940879,728","8029223,673","11453134,79","9352270,151","11430531,64","9527005,469","9267884,228","9695694,126","8667990,489","10215320,08","9438298,972","9130825,63","9081760,109","10224443,11","9597444,122","11374185,77","10221262,58","9487682,464","9743609,067","10123477,95","8115144,251","8457681,44","12373013,89","9176692,864","8371311,256","8740683,58","8424155,82","8667697,205","8068906,794","10208332,17","9826288,345","9301680,258","9628390,204","9258581,961"
54,"8245273,53","8567156,859","8815301,955","8708951,125","8925275,569","8751082,539","8335127,384","9281833,815","8313921,351","11907828,74","9692833,723","11883003,08","9860725,724","9602768,266","10072781,93","8980493,584","10587773,46","9786294,261","9459738,11","9419053,178","10598589,1","9954941,793","11809706,1","10570552,37","9849977,738","10114671,83","10506648,55","8392114,545","8750198,444","12891490,02","9488796,972","8664316,324","9039497,612","8726968,403","8982215,613","8343446,687","10602987,2","10188667,13","9608568,419","9951997,72","9563178,437"
