alder,Forskolelarare,Lagmellanstdlr,Amneslarare,PrakEstLarare,Yrkeslarare,Humanist,Konstutb,Teolog,Biblinfo,Ekonom,Personalvetare,Jurist,Journalist,Psykolog,Samhbetvet,Biolog,Systvet,Fysiker,Geovet,Kemist,Matstat,Arkitekt,Civ_ing,Hgsk_ing,Agronom,Veterinar,Apotekare,Arbterap,Biomed_analyt,Lakare,Receptarie,Sjukgymn,Sjukskoterska,Soc_omsorg,Socionom,Tandhyg,Tandlakare,Akademiker_totalt,GymnTotal,GymnNatv,GymnSamhv
70,"11982849,7","12598458,52","13063741,8","12787246,02","13182649,95","12894804,32","12070460,23","14013794,5","12252643,71","18437374,55","14485916,92","18495514,31","14537536,2","14256182,36","15402961,49","13308576,44","15927164,94","14703524,44","13971002,28","14112032,29","16028304,86","15026683,19","18111962,42","15495300,04","14982006,3","15448020,38","16056348,72","12199311,1","12739339,92","20488025,88","13816871,16","12665045,49","13156516,2","12834522,38","13339858,13","12123897,98","16278279,06","15315793,4","13662819,4","14240226,41","13583354,51"
71,"12149757,53","12772959,89","13246320,82","12968285,82","13366475,13","13078336,28","12242398,06","14218869,05","12426377,67","18773247,51","14713053,69","18838003,85","14755327,96","14462165,9","15653381,2","13507962,98","16196307,88","14943070,66","14185396,41","14331813,81","16310044,3","15264666,84","18442176,53","15738239,45","15225842,62","15699682,54","16315368,95","12368750,11","12915058,24","20860221,72","14006613,24","12838859,21","13336769,67","13012087,5","13525621,7","12290696,98","16543111,06","15562936,82","13845257,48","14434317,97","13763914,92"
72,"12316665,36","12947461,25","13428899,84","13149325,61","13550300,31","13261868,25","12414335,89","14423943,59","12600111,62","19109120,47","14940190,46","19180493,39","14973119,72","14668149,44","15903800,9","13707349,53","16465450,81","15182616,87","14399790,53","14551595,33","16591783,75","15502650,5","18772390,65","15981178,85","15469678,95","15951344,7","16574389,18","12538189,11","13090776,56","21232417,57","14196355,32","13012672,93","13517023,14","13189652,63","13711385,27","12457495,98","16807943,07","15810080,24","14027695,55","14628409,54","13944475,32"
73,"12483573,19","13121962,61","13611478,86","13330365,4","13734125,49","13445400,21","12586273,72","14629018,13","12773845,58","19444993,43","15167327,23","19522982,93","15190911,48","14874132,98","16154220,61","13906736,07","16734593,74","15422163,09","14614184,65","14771376,86","16873523,2","15740634,15","19102604,76","16224118,25","15713515,27","16203006,85","16833409,4","12707628,12","13266494,88","21604613,41","14386097,4","13186486,64","13697276,61","13367217,75","13897148,83","12624294,97","17072775,07","16057223,65","14210133,62","14822501,1","14125035,72"
74,"12650481,02","13296463,98","13794057,88","13511405,2","13917950,67","13628932,18","12758211,55","14834092,68","12947579,53","19780866,38",15394464,"19865472,47","15408703,24","15080116,52","16404640,31","14106122,62","17003736,68","15661709,3","14828578,78","14991158,38","17155262,64","15978617,81","19432818,87","16467057,65","15957351,6","16454669,01","17092429,63","12877067,12","13442213,2","21976809,25","14575839,48","13360300,36","13877530,08","13544782,87","14082912,4","12791093,97","17337607,08","16304367,07","14392571,69","15016592,67","14305596,12"
75,"12817388,85","13470965,34","13976636,9","13692444,99","14101775,85","13812464,14","12930149,38","15039167,22","13121313,49","20116739,34","15621600,77","20207962,02",15626495,"15286100,06","16655060,01","14305509,16","17272879,61","15901255,52","15042972,9","15210939,9","17437002,09","16216601,46","19763032,99","16709997,05","16201187,92","16706331,17","17351449,86","13046506,13","13617931,52","22349005,09","14765581,56","13534114,07","14057783,55",13722348,"14268675,97","12957892,97","17602439,08","16551510,48","14575009,76","15210684,23","14486156,53"
76,"12984296,68","13645466,7","14159215,92","13873484,78","14285601,03","13995996,11","13102087,21","15244241,76","13295047,44","20452612,3","15848737,54","20550451,56","15844286,76","15492083,6","16905479,72","14504895,71","17542022,55","16140801,73","15257367,03","15430721,42","17718741,53","16454585,12","20093247,1","16952936,46","16445024,25","16957993,32","17610470,09","13215945,13","13793649,85","22721200,93","14955323,64","13707927,79","14238037,02","13899913,12","14454439,54","13124691,97","17867271,08","16798653,9","14757447,84","15404775,8","14666716,93"
77,"13151204,52","13819968,07","14341794,94","14054524,58","14469426,21","14179528,07","13274025,04","15449316,3","13468781,4","20788485,26","16075874,31","20892941,1","16062078,52","15698067,14","17155899,42","14704282,26","17811165,48","16380347,95","15471761,15","15650502,94","18000480,98","16692568,78","20423461,21","17195875,86","16688860,57","17209655,48","17869490,32","13385384,14","13969368,17","23093396,77","15145065,71","13881741,5","14418290,49","14077478,25","14640203,11","13291490,97","18132103,09","17045797,32","14939885,91","15598867,36","14847277,33"
78,"13318112,35","13994469,43","14524373,96","14235564,37","14653251,39","14363060,04","13445962,87","15654390,85","13642515,36","21124358,21","16303011,08","21235430,64","16279870,28","15904050,68","17406319,13","14903668,8","18080308,42","16619894,17","15686155,27","15870284,47","18282220,43","16930552,43","20753675,33","17438815,26","16932696,9","17461317,63","18128510,55","13554823,14","14145086,49","23465592,62","15334807,79","14055555,22","14598543,96","14255043,37","14825966,68","13458289,96","18396935,09","17292940,73","15122323,98","15792958,93","15027837,73"
79,"13485020,18","14168970,8","14706952,98","14416604,16","14837076,56",14546592,"13617900,7","15859465,39","13816249,31","21460231,17","16530147,85","21577920,18","16497662,04","16110034,22","17656738,83","15103055,35","18349451,35","16859440,38","15900549,4","16090065,99","18563959,87","17168536,09","21083889,44","17681754,66","17176533,22","17712979,79","18387530,78","13724262,15","14320804,81","23837788,46","15524549,87","14229368,93","14778797,43","14432608,49","15011730,25","13625088,96","18661767,1","17540084,15","15304762,05","15987050,49","15208398,14"
80,"13651928,01","14343472,16",14889532,"14597643,96","15020901,74","14730123,97","13789838,53","16064539,93","13989983,27","21796104,13","16757284,62","21920409,72","16715453,8","16316017,76","17907158,54","15302441,89","18618594,29","17098986,6","16114943,52","16309847,51","18845699,32","17406519,74","21414103,55","17924694,06","17420369,54","17964641,95",18646551,"13893701,15","14496523,13","24209984,3","15714291,95","14403182,65","14959050,89","14610173,62","15197493,82","13791887,96","18926599,1","17787227,57","15487200,12","16181142,06","15388958,54"
81,"13818835,84","14517973,52","15072111,03","14778683,75","15204726,92","14913655,93","13961776,36","16269614,47","14163717,22","22131977,09","16984421,39","22262899,27","16933245,55","16522001,3","18157578,24","15501828,44","18887737,22","17338532,81","16329337,64","16529629,03","19127438,76","17644503,4","21744317,67","18167633,47","17664205,87","18216304,1","18905571,23","14063140,16","14672241,45","24582180,14","15904034,03","14576996,36","15139304,36","14787738,74","15383257,39","13958686,96","19191431,11","18034370,98","15669638,2","16375233,62","15569518,94"
82,"13985743,67","14692474,89","15254690,05","14959723,54","15388552,1","15097187,9","14133714,19","16474689,02","14337451,18","22467850,05","17211558,16","22605388,81","17151037,31","16727984,84","18407997,94","15701214,98","19156880,16","17578079,03","16543731,77","16749410,56","19409178,21","17882487,05","22074531,78","18410572,87","17908042,19","18467966,26","19164591,46","14232579,16","14847959,77","24954375,98","16093776,11","14750810,08","15319557,83","14965303,87","15569020,96","14125485,96","19456263,11","18281514,4","15852076,27","16569325,19","15750079,34"
83,"14152651,5","14866976,25","15437269,07","15140763,34","15572377,28","15280719,86","14305652,02","16679763,56","14511185,13",22803723,"17438694,93","22947878,35","17368829,07","16933968,38","18658417,65","15900601,53","19426023,09","17817625,25","16758125,89","16969192,08","19690917,65","18120470,71","22404745,89","18653512,27","18151878,52","18719628,42","19423611,69","14402018,17","15023678,1","25326571,83","16283518,19","14924623,79","15499811,3","15142868,99","15754784,52","14292284,95","19721095,12","18528657,81","16034514,34","16763416,75","15930639,75"
84,"14319559,33","15041477,62","15619848,09","15321803,13","15756202,46","15464251,83","14477589,85","16884838,1","14684919,09","23139595,96","17665831,7","23290367,89","17586620,83","17139951,92","18908837,35","16099988,08","19695166,03","18057171,46","16972520,01","17188973,6","19972657,1","18358454,36","22734960,01","18896451,67","18395714,84","18971290,57","19682631,92","14571457,17","15199396,42","25698767,67","16473260,27","15098437,51","15680064,77","15320434,11","15940548,09","14459083,95","19985927,12","18775801,23","16216952,41","16957508,32","16111200,15"
85,"14486467,16","15215978,98","15802427,11","15502842,92","15940027,64","15647783,79","14649527,68","17089912,64","14858653,04","23475468,92","17892968,47","23632857,43","17804412,59","17345935,46","19159257,06","16299374,62","19964308,96","18296717,68","17186914,14","17408755,12","20254396,55","18596438,02","23065174,12","19139391,07","18639551,17","19222952,73","19941652,15","14740896,18","15375114,74","26070963,51","16663002,35","15272251,22","15860318,24","15497999,24","16126311,66","14625882,95","20250759,12","19022944,65","16399390,48","17151599,88","16291760,55"
